iter	Passed	Remaining
613	6654	4183
614	6664	4172
615	6674	4160
616	6686	4150
617	6697	4139
618	6707	4128
619	6718	4117
620	6729	4106
621	6739	4095
622	6749	4084
623	6759	4073
624	6770	4062
625	6780	4050
626	6791	4040
627	6801	4028
628	6812	4018
629	6822	4006
630	6832	3995
631	6842	3984
632	6852	3973
633	6863	3962
634	6873	3950
635	6883	3939
636	6893	3928
637	6904	3917
638	6914	3906
639	6924	3895
640	6934	3883
641	6945	3873
642	6956	3862
643	6965	3850
644	6975	3839
645	6985	3828
646	6996	3817
647	7012	3809
648	7023	3798
649	7033	3787
650	7043	3775
651	7053	3764
652	7063	3753
653	7073	3742
654	7084	3731
655	7095	3720
656	7105	3709
657	7115	3698
658	7125	3687
659	7135	3675
660	7145	3664
661	7155	3653
662	7166	3642
663	7176	3631
664	7186	3620
665	7196	3609
666	7206	3598
667	7216	3586
668	7227	3575
669	7237	3564
670	7248	3553
671	7258	3542
672	7268	3531
673	7278	3520
674	7288	3509
675	7298	3498
676	7308	3487
677	7318	3475
678	7328	3464
679	7338	3453
680	7348	3442
681	7359	3431
682	7369	3420
683	7384	3411
684	7398	3402
685	7408	3391
686	7418	3379
687	7428	3368
688	7439	3357
689	7449	3346
690	7459	3335
691	7469	3324
692	7479	3313
693	7489	3302
694	7500	3291
695	7517	3283
696	7527	3272
697	7537	3261
698	7547	3249
699	7557	3239
700	7568	3228
701	7578	3217
702	7589	3206
703	7599	3195
704	7609	3184
705	7619	3173
706	7630	3162
707	7640	3150
708	7650	3139
709	7660	3128
710	7670	3117
711	7680	3106
712	7691	3096
713	7701	3085
714	7712	3074
715	7722	3063
716	7732	3051
717	7742	3040
718	7752	3029
719	7763	3018
720	7773	3007
721	7783	2996
722	7793	2986
723	7803	2974
724	7813	2963
725	7822	2952
726	7832	2941
727	7842	2930
728	7852	2919
729	7862	2907
730	7872	2896
731	7882	2885
732	7892	2875
733	7902	2863
734	7912	2852
735	7922	2841
736	7932	2830
737	7942	2819
738	7951	2808
739	7961	2797
740	7971	2786
741	7981	2775
742	7991	2764
743	8001	2753
744	8010	2741
745	8020	2730
746	8030	2719
747	8040	2708
748	8050	2697
749	8060	2686
750	8070	2675
751	8080	2664
752	8090	2653
753	8100	2642
754	8110	2631
755	8119	2620
756	8129	2609
757	8139	2598
758	8149	2587
759	8159	2576
760	8168	2565
761	8178	2554
762	8187	2543
763	8198	2532
764	8208	2521
765	8218	2510
766	8228	2499
767	8238	2488
768	8248	2477
769	8258	2466
770	8268	2455
771	8278	2444
772	8287	2433
773	8297	2422
774	8307	2411
775	8316	2400
776	8329	2390
777	8339	2379
778	8350	2369
779	8360	2358
780	8370	2347
781	8380	2336
782	8389	2325
783	8399	2314
784	8410	2303
785	8420	2292
786	8429	2281
787	8439	2270
788	8449	2259
789	8460	2248
790	8471	2238
791	8481	2227
792	8491	2216
793	8502	2205
794	8514	2195
795	8525	2184
796	8536	2174
797	8547	2163
798	8557	2152
799	8567	2141
800	8578	2131
801	8588	2120
802	8598	2109
803	8609	2098
804	8619	2087
805	8629	2076
806	8638	2066
807	8648	2055
808	8659	2044
809	8669	2033
810	8679	2022
811	8689	2011
812	8699	2001
813	8709	1990
814	8719	1979
815	8728	1968
816	8738	1957
817	8747	1946
818	8757	1935
819	8767	1924
820	8777	1913
821	8786	1902
822	8796	1891
823	8807	1881
824	8817	1870
825	8827	1859
826	8837	1848
827	8847	1837
828	8858	1827
829	8868	1816
830	8878	1805
831	8888	1794
832	8899	1784
833	8909	1773
834	8919	1762
835	8929	1751
836	8938	1740
837	8948	1729
838	8958	1719
839	8968	1708
840	8978	1697
841	8988	1686
842	8998	1675
843	9011	1665
844	9021	1654
845	9034	1644
846	9044	1633
847	9053	1622
848	9063	1611
849	9073	1601
850	9083	1590
851	9092	1579
852	9102	1568
853	9111	1557
854	9121	1546
855	9131	1536
856	9140	1525
857	9150	1514
858	9159	1503
859	9168	1492
860	9178	1481
861	9187	1470
862	9197	1460
863	9207	1449
864	9217	1438
865	9226	1427
866	9236	1416
867	9246	1406
868	9256	1395
869	9265	1384
870	9274	1373
871	9284	1362
872	9294	1352
873	9303	1341
874	9313	1330
875	9322	1319
876	9332	1308
877	9342	1298
878	9352	1287
879	9362	1276
880	9385	1267
881	9397	1257
882	9408	1246
883	9419	1235
884	9429	1225
885	9440	1214
886	9451	1204
887	9463	1193
888	9475	1183
889	9485	1172
890	9496	1161
891	9507	1151
892	9518	1140
893	9530	1130
894	9541	1119
895	9552	1108
896	9563	1098
897	9574	1087
898	9585	1076
899	9598	1066
900	9609	1055
901	9620	1045
902	9631	1034
903	9643	1024
904	9654	1013
905	9665	1002
906	9676	992
907	9687	981
908	9698	970
909	9709	960
910	9720	949
911	9730	938
912	9741	928
913	9755	917
914	9766	907
915	9777	896
916	9801	887
917	9811	876
918	9823	865
919	9834	855
920	9846	844
921	9857	833
922	9869	823
923	9901	814
924	9917	804
925	9932	793
926	9947	783
927	9960	772
928	9972	762
929	9982	751
930	9993	740
931	10005	729
932	10016	719
933	10029	708
934	10041	698
935	10054	687
936	10066	676
937	10089	666
938	10102	656
939	10115	645
940	10127	634
941	10139	624
942	10152	613
943	10166	603
944	10179	592
945	10191	581
946	10204	571
947	10222	560
948	10234	550
949	10247	539
950	10260	528
951	10274	518
952	10286	507
953	10297	496
954	10308	485
955	10323	475
956	10333	464
957	10344	453
958	10355	442
959	10366	431
960	10377	421
961	10388	410
962	10398	399
963	10409	388
964	10419	377
965	10430	367
966	10440	356
967	10451	345
968	10461	334
969	10472	323
970	10482	313
971	10499	302
972	10515	291
973	10527	281
974	10539	270
975	10550	259
976	10560	248
977	10572	237
978	10583	227
979	10593	216
980	10604	205
981	10614	194
982	10625	183
983	10636	172
984	10647	162
985	10658	151
986	10672	140
987	10690	129
988	10700	119
989	10711	108
990	10722	97
991	10733	86
992	10743	75
993	10754	64
994	10765	54
995	10776	43
996	10787	32
997	10799	21
998	10809	10
999	10820	0
